A Clockwork Orange,1971,Stanley Kubrick,8.3,80,"Budget:$2,200,000"
Hacksaw Ridge,2016,Mel Gibson,8.1,71,"Budget:$40,000,000"
Batman Begins,2005,Christopher Nolan,8.3,70,"Budget:$150,000,000"
Room,2015,Lenny Abrahamson,8.2,86,"Budget:$13,000,000"
One Flew Over the Cuckoo's Nest,1975,Milos Forman,8.7,80,"Budget:$4,400,000"
Scarface,1983,Brian De Palma,8.3,65,"Budget:$25,000,000"
Saving Private Ryan,1998,Steven Spielberg,8.6,91,"Budget:$70,000,000"
Whiplash,2014,Damien Chazelle,8.5,88,"Budget:$3,300,000"
Good Will Hunting,1997,Gus Van Sant,8.3,70,"Budget:$10,000,000"
The Help,2011,Tate Taylor,8.1,62,"Budget:$25,000,000"
Heat,1995,Michael Mann,8.2,76,"Budget:$60,000,000"
Sin City,2005,Frank Miller,8.0,74,No Budget Found
American Beauty,1999,Sam Mendes,8.4,86,"Budget:$15,000,000"
2001: A Space Odyssey,1968,Stanley Kubrick,8.3,82,"Budget:$12,000,000"
Blade Runner,1982,Ridley Scott,8.2,89,"Budget:$28,000,000"
The Grand Budapest Hotel,2014,Wes Anderson,8.1,88,"Budget:$25,000,000"
Star Wars: Episode VII - The Force Awakens,2015,J.J. Abrams,8.0,81,"Budget:$245,000,000"
Back to the Future,1985,Robert Zemeckis,8.5,87,"Budget:$19,000,000"
Warrior,2011,Gavin O'Connor,8.2,71,"Budget:$25,000,000"
Taxi Driver,1976,Martin Scorsese,8.3,94,"Budget:$1,300,000"
Alien,1979,Ridley Scott,8.5,83,"Budget:$11,000,000"
"Il buono, il brutto, il cattivo",1966,Sergio Leone,8.9,90,"Budget:$1,200,000"
Star Trek,2009,J.J. Abrams,8.0,82,"Budget:$150,000,000"
Rocky,1976,John G. Avildsen,8.1,70,"Budget:$960,000"
The Usual Suspects,1995,Bryan Singer,8.6,77,"Budget:$6,000,000"
Shutter Island,2010,Martin Scorsese,8.1,63,"Budget:$80,000,000"
Her,2013,Spike Jonze,8.0,90,"Budget:$23,000,000"
Once Upon a Time in America,1984,Sergio Leone,8.4,No Metascore,"Budget:$30,000,000"
Groundhog Day,1993,Harold Ramis,8.0,72,"Budget:$14,600,000"
